id;name;text;vocavulary_id
1;INFINITIVO;arise;1
2;INFINITIVO;awake;2
3;INFINITIVO;be;3
4;INFINITIVO;Bear;4
5;INFINITIVO;Beat;5
6;Pasado Simple;arose;1
7;Pasado Simple;awoke;2
8;Pasado Simple;was/were;3
9;Pasado Simple;Bore;4
10;Pasado Simple;Beat;5
11;PARTICIPIO  PASADO ;Arisen;1
12;PARTICIPIO  PASADO ;Awoken;2
13;PARTICIPIO  PASADO ;Been;3
14;PARTICIPIO  PASADO ;Borne / Born ;4
15;PARTICIPIO  PASADO ;Beaten;5
16;ESPAÑOL;Surgir, Levantarse ;1
17;ESPAÑOL;Despertarse;2
18;ESPAÑOL;Ser / Estar;3
19;ESPAÑOL;Soportar, dar a luz ;4
20;ESPAÑOL;Golpear;5
21;INFINITIVO;Become;6
22;INFINITIVO;Begin;7
23;INFINITIVO;Bend;8
24;INFINITIVO;Bet;9
25;INFINITIVO;Bid;10
26;INFINITIVO;Bid;11
27;INFINITIVO;Bind;12
28;INFINITIVO;Bite;13
29;INFINITIVO;Bleed;14
30;INFINITIVO;Blow;15
31;INFINITIVO;Break;16
32;INFINITIVO;Breed;17
33;INFINITIVO;Bring;18
34;INFINITIVO;Broadcast;19
35;INFINITIVO;Browbeat;20
36;INFINITIVO;Build;21
37;INFINITIVO;Burn;22
38;INFINITIVO;Burst;23
39;INFINITIVO;Buy;24
40;INFINITIVO;Cast;25
41;INFINITIVO;Catch;26
42;INFINITIVO;Choose;27
43;INFINITIVO;Cling;28
44;INFINITIVO;Come;29
45;INFINITIVO;Cost;30
46;INFINITIVO;Creep;31
47;INFINITIVO;Cut;32
48;INFINITIVO;Deal;33
49;INFINITIVO;Dig;34
50;INFINITIVO;Disprove;35
51;INFINITIVO;Do;36
52;INFINITIVO;Draw;37
53;INFINITIVO;Dream;38
54;INFINITIVO;Drink;39
55;INFINITIVO;Drive;40
56;INFINITIVO;Eat;41
57;INFINITIVO;Fall;42
58;INFINITIVO;Feed;43
59;INFINITIVO;Feel;44
60;INFINITIVO;Fight;45
61;INFINITIVO;Find;46
62;INFINITIVO;Flee;47
63;INFINITIVO;Fly;48
64;INFINITIVO;Forbid;49
65;INFINITIVO;Forecast;50
66;INFINITIVO;Forget;51
67;INFINITIVO;Forgive;52
68;INFINITIVO;Forsake;53
69;INFINITIVO;Freeze;54
70;INFINITIVO;Get;55
71;INFINITIVO;Give;56
72;INFINITIVO;Go;57
73;INFINITIVO;Grind;58
74;INFINITIVO;Grow;59
75;INFINITIVO;Hang;60
76;INFINITIVO;Have;61
77;INFINITIVO;Hear;62
78;INFINITIVO;Hide;63
79;INFINITIVO;Hit;64
80;INFINITIVO;Hold;65
81;INFINITIVO;Hurt;66
82;INFINITIVO;Input;67
83;INFINITIVO;Keep;68
84;INFINITIVO;Kneel;69
85;INFINITIVO;Knit;70
86;INFINITIVO;Know;71
87;INFINITIVO;Lay;72
88;INFINITIVO;Lead;73
89;INFINITIVO;Lean;74
90;INFINITIVO;Leap;75
91;INFINITIVO;Learn;76
92;INFINITIVO;Leave;77
93;INFINITIVO;Lend;78
94;INFINITIVO;Let;79
95;INFINITIVO;Lie;80
